breed,breed_suffix,replicate_num,n_founders,n_males,n_females,total_alleles,alleles_per_locus,expected_heterozygosity,observed_heterozygosity,effective_alleles,fis,fis_global,mean_outlier_index,mean_internal_relatedness,mean_avg_genetic_relatedness
Flat-Coated Retriever,fcr,12,200,100,100,166,5.0303,0.55408,0.55621,2.566,-0.00221,-0.00385,0.39427,-0.00197,-0.000954
Flat-Coated Retriever,fcr,13,200,100,100,161,4.8788,0.55014,0.54894,2.5441,0.00441,0.00219,0.37791,0.00421,-0.003743
Flat-Coated Retriever,fcr,14,200,100,100,169,5.1212,0.552,0.56273,2.5406,-0.00886,-0.01943,0.3897,-0.01706,0.009934
Flat-Coated Retriever,fcr,15,200,100,100,164,4.9697,0.55022,0.55424,2.533,-0.00964,-0.00731,0.3682,-0.00508,-0.000265
Flat-Coated Retriever,fcr,16,200,100,100,162,4.9091,0.55038,0.55879,2.5484,-0.00716,-0.01529,0.38454,-0.0134,0.006675
Flat-Coated Retriever,fcr,17,200,100,100,169,5.1212,0.55305,0.55864,2.5707,-0.01096,-0.0101,0.38491,-0.00784,0.002449
Flat-Coated Retriever,fcr,18,200,100,100,165,5.0,0.55448,0.55788,2.5681,-0.00013,-0.00614,0.39716,-0.00337,-0.000382
Flat-Coated Retriever,fcr,19,200,100,100,163,4.9394,0.55217,0.5503,2.548,0.00586,0.00338,0.41375,0.00558,-0.005992
Flat-Coated Retriever,fcr,20,200,100,100,166,5.0303,0.55149,0.56015,2.5494,-0.01644,-0.0157,0.38292,-0.01309,0.003828
Flat-Coated Retriever,fcr,21,200,100,100,169,5.1212,0.55195,0.55561,2.5423,-0.00212,-0.00662,0.37323,-0.00461,0.001166
Flat-Coated Retriever,fcr,22,200,100,100,162,4.9091,0.55373,0.55515,2.5569,0.00067,-0.00256,0.39424,0.00036,-0.006561
Flat-Coated Retriever,fcr,23,200,100,100,166,5.0303,0.5574,0.56152,2.5736,-0.01031,-0.00738,0.39778,-0.00503,-0.000599
Flat-Coated Retriever,fcr,24,200,100,100,166,5.0303,0.55316,0.55394,2.5604,-0.00068,-0.00141,0.37896,0.00065,-0.00244
Flat-Coated Retriever,fcr,25,200,100,100,165,5.0,0.54806,0.54333,2.5216,0.01042,0.00863,0.38047,0.01108,-0.011858
Flat-Coated Retriever,fcr,26,200,100,100,170,5.1515,0.55601,0.55833,2.5677,0.00234,-0.00417,0.36437,-0.00169,-0.001895
Flat-Coated Retriever,fcr,27,200,100,100,169,5.1212,0.55176,0.55667,2.5506,-0.01103,-0.0089,0.38664,-0.00689,0.00251
Flat-Coated Retriever,fcr,28,200,100,100,171,5.1818,0.55522,0.55591,2.5675,-0.00317,-0.00125,0.38526,0.0008,-0.004463
Flat-Coated Retriever,fcr,29,200,100,100,168,5.0909,0.55096,0.55333,2.5427,-0.00025,-0.0043,0.37049,-0.00179,-0.001191
Flat-Coated Retriever,fcr,30,200,100,100,164,4.9697,0.5534,0.55136,2.5487,0.00472,0.00368,0.39561,0.00586,-0.00635
Flat-Coated Retriever,fcr,31,200,100,100,165,5.0,0.55079,0.55515,2.5318,-0.00362,-0.00792,0.37571,-0.00556,0.000303
Flat-Coated Retriever,fcr,32,200,100,100,164,4.9697,0.55343,0.55712,2.5662,-0.00327,-0.00668,0.3917,-0.00488,0.000316
Flat-Coated Retriever,fcr,33,200,100,100,169,5.1212,0.55304,0.55409,2.5484,-0.0036,-0.0019,0.36469,0.00045,-0.003775
Flat-Coated Retriever,fcr,34,200,100,100,166,5.0303,0.55287,0.55348,2.5722,0.00643,-0.00111,0.37673,0.001,-9e-05
Flat-Coated Retriever,fcr,35,200,100,100,168,5.0909,0.55535,0.56136,2.5648,-0.0079,-0.01082,0.39286,-0.00894,0.001643
Flat-Coated Retriever,fcr,36,200,100,100,169,5.1212,0.54745,0.54697,2.5273,0.00124,0.00089,0.37878,0.00342,-0.003289
Flat-Coated Retriever,fcr,37,200,100,100,166,5.0303,0.55363,0.55621,2.5564,0.00538,-0.00466,0.36705,-0.00274,0.000216
Flat-Coated Retriever,fcr,38,200,100,100,169,5.1212,0.5552,0.55742,2.5695,-0.00205,-0.004,0.37929,-0.00229,-0.002002
Flat-Coated Retriever,fcr,39,200,100,100,167,5.0606,0.55303,0.55879,2.5472,-0.01094,-0.01042,0.38082,-0.00849,0.002127
Flat-Coated Retriever,fcr,40,200,100,100,167,5.0606,0.55426,0.55652,2.5643,0.00089,-0.00407,0.39024,-0.00201,-0.003121
Flat-Coated Retriever,fcr,41,200,100,100,166,5.0303,0.55144,0.55742,2.555,-0.01036,-0.01086,0.37182,-0.0085,0.002031
Flat-Coated Retriever,fcr,42,200,100,100,170,5.1515,0.5542,0.55439,2.5676,0.00333,-0.00035,0.38409,0.00162,-0.004206
Flat-Coated Retriever,fcr,43,200,100,100,166,5.0303,0.55352,0.55409,2.5687,0.00202,-0.00104,0.41742,0.00191,-0.005537
Flat-Coated Retriever,fcr,44,200,100,100,168,5.0909,0.54888,0.55015,2.5361,0.00343,-0.00231,0.38071,-0.00021,-0.001643
Flat-Coated Retriever,fcr,45,200,100,100,170,5.1515,0.55319,0.55667,2.562,-0.00294,-0.00629,0.40357,-0.00421,-0.000565
Flat-Coated Retriever,fcr,46,200,100,100,169,5.1212,0.55026,0.54636,2.5467,0.00802,0.00708,0.38928,0.00922,-0.009335
Flat-Coated Retriever,fcr,47,200,100,100,167,5.0606,0.55409,0.55788,2.5633,-0.0096,-0.00684,0.38568,-0.00448,-0.000307
Flat-Coated Retriever,fcr,48,200,100,100,165,5.0,0.54808,0.55712,2.5319,-0.00936,-0.0165,0.36117,-0.01424,0.006296
Flat-Coated Retriever,fcr,49,200,100,100,168,5.0909,0.55388,0.56152,2.5714,-0.016,-0.01378,0.39283,-0.01108,0.006252
Flat-Coated Retriever,fcr,50,200,100,100,167,5.0606,0.55087,0.55455,2.5436,-0.00724,-0.00667,0.37421,-0.00437,-0.001036
Standard Poodle,sp,1,200,100,100,280,8.4848,0.70732,0.6947,3.809,0.01915,0.01784,0.30835,0.01914,-0.013983
Standard Poodle,sp,2,200,100,100,278,8.4242,0.7018,0.68697,3.7333,0.02242,0.02113,0.284,0.02261,-0.014371
Standard Poodle,sp,3,200,100,100,271,8.2121,0.70705,0.69303,3.845,0.021,0.01982,0.30586,0.02083,-0.01339
Standard Poodle,sp,4,200,100,100,268,8.1212,0.70688,0.70606,3.7755,0.00105,0.00116,0.30729,0.00203,-0.004704
Standard Poodle,sp,5,200,100,100,277,8.3939,0.70875,0.69576,3.8161,0.01883,0.01832,0.28352,0.01946,-0.013285
Standard Poodle,sp,6,200,100,100,276,8.3636,0.70388,0.69924,3.8084,0.00869,0.00659,0.29085,0.00814,-0.008112
Standard Poodle,sp,7,200,100,100,277,8.3939,0.69873,0.69121,3.7394,0.01048,0.01076,0.32008,0.01268,-0.010951
Standard Poodle,sp,8,200,100,100,278,8.4242,0.71314,0.69212,3.8441,0.03017,0.02947,0.27438,0.03059,-0.017184
Standard Poodle,sp,9,200,100,100,266,8.0606,0.70489,0.68833,3.8057,0.02549,0.02348,0.31488,0.02526,-0.014879
Standard Poodle,sp,10,200,100,100,279,8.4545,0.70755,0.69909,3.8375,0.01286,0.01196,0.31671,0.01337,-0.010146
Standard Poodle,sp,11,200,100,100,269,8.1515,0.7023,0.70152,3.7688,0.0027,0.00112,0.27832,0.00292,-0.004875
Standard Poodle,sp,12,200,100,100,275,8.3333,0.71265,0.69727,3.8856,0.02196,0.02158,0.30585,0.02299,-0.015418
Standard Poodle,sp,13,200,100,100,274,8.303,0.70518,0.69152,3.7832,0.02115,0.01937,0.28937,0.02031,-0.014486
Standard Poodle,sp,14,200,100,100,281,8.5152,0.70414,0.68591,3.788,0.02644,0.02589,0.29044,0.02805,-0.017266
Standard Poodle,sp,15,200,100,100,278,8.4242,0.69789,0.68439,3.7123,0.01911,0.01934,0.28548,0.02045,-0.014136
Standard Poodle,sp,16,200,100,100,278,8.4242,0.71232,0.70152,3.8754,0.01479,0.01516,0.29716,0.01667,-0.011792
Standard Poodle,sp,17,200,100,100,274,8.303,0.7039,0.69576,3.7824,0.01208,0.01157,0.2745,0.01324,-0.012067
Standard Poodle,sp,18,200,100,100,273,8.2727,0.71101,0.70212,3.8517,0.01332,0.01251,0.30235,0.01382,-0.009762
Standard Poodle,sp,19,200,100,100,273,8.2727,0.7043,0.69242,3.7922,0.01665,0.01686,0.3075,0.01847,-0.01254
Standard Poodle,sp,20,200,100,100,274,8.303,0.70854,0.68561,3.8692,0.03172,0.03237,0.30896,0.03369,-0.01941
Standard Poodle,sp,21,200,100,100,281,8.5152,0.70881,0.70288,3.8076,0.0086,0.00837,0.29798,0.00933,-0.008293
Standard Poodle,sp,22,200,100,100,275,8.3333,0.71175,0.695,3.8725,0.02564,0.02353,0.3212,0.02457,-0.01517
Standard Poodle,sp,23,200,100,100,272,8.2424,0.70258,0.70242,3.7513,0.00068,0.00021,0.3192,0.00163,-0.003844
Standard Poodle,sp,24,200,100,100,280,8.4848,0.70683,0.69197,3.7658,0.02009,0.02102,0.29883,0.02262,-0.01388
Standard Poodle,sp,25,200,100,100,278,8.4242,0.70819,0.69212,3.8376,0.02434,0.02269,0.2982,0.02427,-0.01362
Standard Poodle,sp,26,200,100,100,281,8.5152,0.71193,0.69939,3.8436,0.01775,0.01762,0.29856,0.01875,-0.013344
Standard Poodle,sp,27,200,100,100,280,8.4848,0.7101,0.69152,3.8738,0.02826,0.02618,0.30749,0.02732,-0.01677
Standard Poodle,sp,28,200,100,100,274,8.303,0.70024,0.69015,3.7694,0.0169,0.01441,0.30956,0.01615,-0.011186
Standard Poodle,sp,29,200,100,100,280,8.4848,0.70961,0.69076,3.8676,0.02846,0.02657,0.30504,0.02786,-0.015689
Standard Poodle,sp,30,200,100,100,275,8.3333,0.70763,0.69455,3.7913,0.01973,0.01849,0.29911,0.02,-0.011258
Standard Poodle,sp,31,200,100,100,278,8.4242,0.70636,0.68697,3.791,0.02797,0.02745,0.29681,0.02864,-0.020046
Standard Poodle,sp,32,200,100,100,280,8.4848,0.71731,0.6947,3.915,0.03181,0.03152,0.30882,0.0326,-0.020101
Standard Poodle,sp,33,200,100,100,277,8.3939,0.70856,0.69061,3.8215,0.02636,0.02533,0.3093,0.02632,-0.015994
Standard Poodle,sp,34,200,100,100,277,8.3939,0.7074,0.70303,3.7989,0.00753,0.00617,0.30183,0.00745,-0.007701
Standard Poodle,sp,35,200,100,100,274,8.303,0.71131,0.69439,3.821,0.0239,0.02379,0.31452,0.02538,-0.01637
Standard Poodle,sp,36,200,100,100,281,8.5152,0.70614,0.69348,3.7976,0.01815,0.01793,0.28999,0.01919,-0.013225
