study_code,mcb_pct,oi,agr
SP304,69.43,0.1848,-0.0057
SP305,42.77,0.2054,0.0203
SP306,57.32,0.1275,0.0567
SP307,27.9,0.1759,0.004
SP308,34.86,0.2861,-0.0183
SP309,54.22,0.2156,0.0233
SP310,55.77,0.1677,0.0352
SP311,53.84,0.165,0.0352
SP312,34.6,0.3953,-0.056
SP313,61.22,0.1909,-0.0111
SP314,40.39,0.1939,-0.0412
SP315,49.92,0.3623,-0.0801
SP316,68.25,0.1275,0.0856
SP317,55.68,0.1879,0.0149
SP318,52.71,0.1818,0.0901
SP319,49.88,0.3755,-0.0839
SP320,54.85,0.165,0.0092
SP321,54.6,0.3006,-0.0936
SP322,52.48,0.1879,0.0277
SP323,57.22,0.2407,-0.0668
SP324,46.37,0.2909,0.0113
SP325,35.64,0.1623,0.038
SP326,57.1,0.3055,-0.0677
SP327,63.21,0.2448,0.0179
SP328,49.32,0.2407,0.0012
SP329,62.11,0.2674,-0.0311
SP330,43.38,0.223,-0.0456
SP331,38.48,0.4384,-0.1327
SP332,30.04,0.3466,-0.0303
SP333,18.7,0.3953,-0.1429
SP334,36.44,0.2341,0.007
SP335,42.71,0.1531,-0.0178
SP336,27.69,0.3859,-0.1316
SP337,56.57,0.2121,0.016
SP338,29.33,0.4172,-0.1045
SP339,65.19,0.1677,0.0048
SP340,67.17,0.2193,-0.0393
SP341,33.62,0.3689,-0.1168
SP342,44.08,0.3154,-0.0227
SP343,17.49,0.4282,-0.1295
SP344,71.42,0.1987,0.0573
SP345,17.3,0.4697,-0.1623
SP346,55.79,0.2958,-0.0223
SP347,46.17,0.2909,-0.0555
SP348,32.22,0.3523,-0.093
SP349,23.51,0.4018,-0.1167
SP350,56.07,0.1759,-0.0326
SP351,44.48,0.3295,-0.0701
SP352,60.29,0.1483,0.0438
SP353,39.85,0.2891,-0.0565
SP354,62.83,0.3557,-0.0611
SP355,67.56,0.1483,0.0139
SP356,43.4,0.2611,-0.0383
SP357,52.88,0.2812,-0.0326
SP358,44.52,0.3798,-0.0855
SP359,47.71,0.3207,-0.018
SP360,73.06,0.1677,0.0523
SP361,60.18,0.1848,0.0159
SP362,42.33,0.1115,-0.0092
SP363,17.3,0.3417,-0.0523
SP364,46.42,0.3409,-0.0106
SP365,62.3,0.2304,-0.0577
